Task: Task 1, Test Name: Side bar filter [brands], DOM Id: li#LI____133, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [brands], DOM Id: li#LI____138, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [brands], DOM Id: li#LI____143, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [brands], DOM Id: li#LI____148, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [brands], DOM Id: li#LI____153, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [price], DOM Id: li#LI____163, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [price], DOM Id: li#LI____168, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [price], DOM Id: li#LI____173, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [price], DOM Id: li#LI____178, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Product grid, DOM Id: figure#FIGURE____213, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Product grid, DOM Id: figure#FIGURE____238, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Product grid, DOM Id: figure#FIGURE____262, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Product grid, DOM Id: figure#FIGURE____284, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Product grid, DOM Id: figure#FIGURE____306, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Product grid, DOM Id: figure#FIGURE____328, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Product grid, DOM Id: figure#FIGURE____350, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Product grid, DOM Id: figure#FIGURE____373, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Product grid, DOM Id: figure#FIGURE____397, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 3, Test Name: Shoe title and picture, DOM Id: #shoe_name, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 3, Test Name: Shoe title and picture, DOM Id: #shoe_img, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 3, Test Name: Review, DOM Id: .icon-star, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 3, Test Name: Review, DOM Id: .icon-star.voted, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 3, Test Name: Review, DOM Id: em, Browser: edge, Viewport: 1200 x 700, Device: laptop, Status: Pass
